"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2015-09-16","6.93",,"0.00","0.0","73","81","65","  110","  220","13.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-17","7.38",,"0.00","0.0","76","89","64","  220","  240","14.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-18","7.61",,"0.00","0.0","75","85","65","  200",,"14.1",,,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-19","9.62",,"0.00","0.0","70","79","62","  200","  190","17.0","21.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-09-20","11.63",,"0.00","0.0","71","75","57","  310","  320","18.1","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-21","10.74",,"0.00","0.0","60","66","53","   30","   40","19.9","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-22","9.40",,"0.00","0.0","63","68","56","   70","   50","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-23","5.59",,"0.00","0.0","61","68","54","  140","  120","10.1","15.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-24","8.50",,"0.00","0.0","65","74","58","   70","   50","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-25","8.72",,"0.00","0.0","61","66","55","   60","   60","17.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-26","9.62",,"0.00","0.0","58","63","50","   30","   50","19.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-27","6.93",,"0.00","0.0","56","64","48","  170","  170","15.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-28","6.71",,"0.00","0.0","65","78","56","  200","  200","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-29","9.17",,"0.04","0.0","72","84","65","  190","  190","21.0","25.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-09-30","12.97",,"2.46","0.0","71","78","57","  190","  200","32.0","38.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-01","17.22",,"0.00","0.0","58","59","54","   40","   40","30.0","38.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-02","20.36",,"0.08","0.0","53","54","50","   30","   30","25.1","36.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-03","22.37",,"0.01","0.0","52","54","49","   40","   30","29.1","36.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-04","18.12",,"0.00","0.0","54","56","51","   50","   50","28.0","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-05","9.17",,"0.00","0.0","54","61","48","   30","   30","15.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-06","5.59",,"0.00","0.0","55","64","48","  300","  300","12.1","15.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-07","7.16",,"0.00","0.0","60","72","52","  280","  290","13.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-08","8.72",,"0.00","0.0","58","62","51","  140","  290","13.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-09","14.76",,"0.34","0.0","60","72","52","  220","  220","31.1","40.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-10","9.84",,"0.00","0.0","57","61","48","  320","  310","29.1","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-11","13.87",,"0.00","0.0","56","68","48","  220","  220","23.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-12","7.61",,"0.00","0.0","62","76","51","  200","  240","15.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-13","7.61",,"0.12","0.0","61","72","55","  200","  200","16.1","21.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-10-14","12.53",,"0.00","0.0","63","68","51","  250","  280","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-15","8.72",,"0.00","0.0","54","62","47","  230","  240","16.1","23.9",,,,,,,,
